,"Global Unicorn Club: Private Companies Valued at $1B+
(as of May 8th, 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Company,Valuation ($B) ,Country,Category,Select Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bill.com,$1 ,United States,Fintech,"August Capital, DCM Ventures, Emergence Capital Partners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bird Rides,$2 ,United States,Travel,"Tusk Ventures, Craft Ventures, Sequoia Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bitmain Technologies,$12 ,China,Blockchain,"Coatue Management, Sequoia Capital China, IDG Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BlaBlaCar,$2 ,France,On-Demand,"Accel Partners, Index Ventures, Insight Venture Partners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bluehole,$5 ,South Korea,Travel Tech,"Tencent Holdings, Stonebridge Capital, IMM Investment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bolt,$1 ,Estonia,On-demand,"Didi Chuxing, Diamler, TMT Investments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BrewDog,$1 ,United Kingdom,Food & Beverages,"TSG Consumer Partners, Crowdcube",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brex,$1 ,United States,Fintech,"DST Global, Ribbit Capital, Greenoaks Capital Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bukalapak,$1 ,Indonesia,eCommerce,"500 Startups, Batavia Incubator, Emtek Group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Butterfly Network,$1 ,United States,Healthcare,"Bill & Melinda Gates Foundation, Aeris Capital,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buzzfeed,$2 ,United States,Media,"SV Angel, RRE Ventures, New Enterprise Associates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BYJU'S,$5 ,India,Ed Tech,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C3 IoT,$1 ,United States,IoT,"Makena Capital Management, TPG Growth, Breyer Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cabify,$1 ,Spain,On Demand,"Seaya Ventures, Otter Rock Capital, Rakuten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calm,$1 ,United States,Health & Wellness,"Insight Venture Partners, TPG Growth, Sound Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cambricon,$2 ,China,Chips & Semiconductors,"Alibaba Entrepreneurs Fund, CAS Investment Management Co., Lenovo Ventures Group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canva,$1 ,Australia,Collaboration & Project Management,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAOCAO,$2 ,China,On Demand,"People Electrical Appliance Group China, Zhongrong International Trust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carbon3D,$2 ,United States,Hardware,"Google Ventures, Sequoia Capital, Wakefield Group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carta,$2 ,United States,Fintech,"Menlo Ventures, Spark Capital, Union Square Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Casper,$1 ,United States,eCommerce / D2C,"Norwest Venture Partners, New Enterprise Associates, Lerer Hippeau Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cell C,$1 ,South Africa,Telecommunications,"Blue Label Telecoms, Net1 UEPS Technologies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Celonis,$1 ,Germany,BI & Analytics,"Accel, 83North",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CGTZ,$1 ,China,Fintech,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Checkout.com,$2 ,United Kingdom,Fintech,"Insight Partners, DST Global",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chime,$2 ,United States,Fintech,"Forerunner Ventures, Crosslink Capital, Homebrew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Circle Internet Financial,$3 ,United States,Fintech,"General Catalyst, Digital Currency Group, Accel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CloudFlare,$1 ,United States,Cybersecurity,"New Enterprise Associates, Pelion Venture Partners, Union Square Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cloudwalk,$3 ,China,AI,"Oriza Holdings, Guangdong Technology Financial Group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clover Health,$1 ,United States,Healthcare,"Google Ventures, Sequoia Capital, First Round Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cohesity,$1 ,United States,Data Storage,"SoftBank Group, Sequoia Capital, Wing Venture Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coinbase,$8 ,United States,Fintech,"Y Combinator, Union Square Ventures, DFJ Growth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Collibra,$1 ,United States,Regtech / AI,"Index Ventures, Battery Ventures, ICONIQ Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Compass,$4 ,United States,Real Estate,"Founders Fund, Thrive Capital, Wellington Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Confluent,$3 ,United States,Internet Software & Services,"Benchmark, Sequoia Capital, Index Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ContextLogic (dba. Wish),$3 ,United States,eCommerce/Marketplace,"Founders Fund, GGV Capital, Digital Sky Technologies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Convoy,$1 ,United States,Supply Chain,"Greylock Partners, capitalG, Y Combinator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coocaa,$1 ,China,Consumer Hardware,"Baidu, Tencent Holdings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coupang,$9 ,South Korea,eCommerce/Marketplace,"Sequoia Capital, Founder Collective, Wellington Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coursera,$1 ,United States,Edtech,"New Enterprise Associates, Kleiner Perkins Caufield & Byers, GSV Capital, Learn Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Credit Karma,$4 ,United States,Fintech,"Felicis Ventures, SV Angel, Founders Fund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CrowdStrike,$3 ,United States,Cybersecurity,"Warbug Pincus, capitalG, Accel Partners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CureVac,$2 ,Germany,Biotechnology,"dievini Hopp BioTech Holding & Co., Eli Lilly & Co., LBBW Venture Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dadi Cinema,$2 ,China,Entertainment,Alibaba Pictures Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Darktrace,$2 ,United Kingdom,Cybersecurity,"KKR, Ten Eleven Ventures, Summit Partners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Databricks,$3 ,United States,Internet Software & Services,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dataminr,$2 ,United States,BI & Analytics,"Venrock, Institutional Venture Partners, Goldman Sachs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deezer,$1 ,France,Internet Software & Services,"Orange Digital Ventures, Access Industries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delhivery,$2 ,India,Supply Chain & Logistics,"Times Internet, Nexus Venture Partners, SoftBank Group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deliveroo,$2 ,United Kingdom,On-demand,"Accel Partners, General Catalyst, Index Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Desktop Metal,$2 ,United States,3D Printing,"Australian Future Fund, GE Ventures, Data Collective",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Devoted Health,$2 ,United States,Healthcare,"Andreessen Horowitz, F-Prime Capital, Venrock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Didi Chuxing,$56 ,China,On-Demand,"Matrix Partners, Tiger Global Management, Softbank Corp.,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ding Xiang Yuan,$1 ,China,Digital Health,"Tencent Holdings, DCM Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Discord,$2 ,United States,eSports,"Benchmark, Greylock Partners, Tencent Holdings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DJI Innovations,$10 ,China,Hardware,"Accel Partners, Sequoia Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Docker,$1 ,United States,Internet Software & Services,"Greylock Partners, Lightspeed Venture Partners, Lowercase Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Doctolib,$1 ,France,Digital Health,"BPI France, Kerala Ventures, Accel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DoorDash,$7 ,United States,Food Delivery,"Softbank Group, Sequoia Capital, Khosla Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DouyuTV,$2 ,China,Internet Software & Services,"CMB International Capital, Nanshan Capital, Tencent Holdings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dream11,$1 ,India,Sports/Gaming,"Kaalari Capital, Tencent Holdings, Steadview Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dt Dream,$1 ,China,Internet Software & Services,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EasyHome,$6 ,China,Retail,"Alibaba Group, Boyu Capital, Borui Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eggshell Apartment,$2 ,China,Real Estate Tech,"JOY Capital, Gaorong Capital, Tiger Global Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Epic Games,$15 ,United States,Gaming,"Tencent Holdings, KKR, Smash Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
